"filename", "language", "JSON", "TypeScript", "JavaScript", "Markdown", "GraphQL", "HTML", "Prisma", "YAML", "CSS", "comment", "blank", "total"
"/home/bryn/Source/ember/contributing/docs/enums/_logging_logger_.events.html", "HTML", 0, 0, 0, 0, 0, 387, 0, 0, 0, 0, 0, 387
"/home/bryn/Source/ember/contributing/docs/enums/_logging_logger_.topics.html", "HTML", 0, 0, 0, 0, 0, 219, 0, 0, 0, 0, 0, 219
"/home/bryn/Source/ember/contributing/docs/globals.html", "HTML", 0, 0, 0, 0, 0, 283, 0, 0, 0, 0, 0, 283
"/home/bryn/Source/ember/contributing/docs/index.html", "HTML", 0, 0, 0, 0, 0, 387, 0, 0, 0, 31, 0, 418
"/home/bryn/Source/ember/contributing/docs/interfaces/_client_bot_client_._discord_akairo_.akairoclient.html", "HTML", 0, 0, 0, 0, 0, 220, 0, 0, 0, 0, 0, 220
"/home/bryn/Source/ember/contributing/docs/modules/_client_bot_client_._discord_akairo_.html", "HTML", 0, 0, 0, 0, 0, 140, 0, 0, 0, 0, 0, 140
"/home/bryn/Source/ember/contributing/docs/modules/_client_bot_client_.html", "HTML", 0, 0, 0, 0, 0, 179, 0, 0, 0, 0, 0, 179
"/home/bryn/Source/ember/contributing/docs/modules/_commands_admin_welcome_.html", "HTML", 0, 0, 0, 0, 0, 129, 0, 0, 0, 0, 0, 129
"/home/bryn/Source/ember/contributing/docs/modules/_commands_mod_ban_.html", "HTML", 0, 0, 0, 0, 0, 129, 0, 0, 0, 0, 0, 129
"/home/bryn/Source/ember/contributing/docs/modules/_commands_mod_kick_.html", "HTML", 0, 0, 0, 0, 0, 129, 0, 0, 0, 0, 0, 129
"/home/bryn/Source/ember/contributing/docs/modules/_commands_mod_lock_.html", "HTML", 0, 0, 0, 0, 0, 129, 0, 0, 0, 0, 0, 129
"/home/bryn/Source/ember/contributing/docs/modules/_commands_mod_move_.html", "HTML", 0, 0, 0, 0, 0, 129, 0, 0, 0, 0, 0, 129
"/home/bryn/Source/ember/contributing/docs/modules/_commands_mod_unban_.html", "HTML", 0, 0, 0, 0, 0, 129, 0, 0, 0, 0, 0, 129
"/home/bryn/Source/ember/contributing/docs/modules/_commands_mod_unlock_.html", "HTML", 0, 0, 0, 0, 0, 129, 0, 0, 0, 0, 0, 129
"/home/bryn/Source/ember/contributing/docs/modules/_commands_mod_verify_.html", "HTML", 0, 0, 0, 0, 0, 129, 0, 0, 0, 0, 0, 129
"/home/bryn/Source/ember/contributing/docs/modules/_commands_owner_reload_.html", "HTML", 0, 0, 0, 0, 0, 129, 0, 0, 0, 0, 0, 129
"/home/bryn/Source/ember/contributing/docs/modules/_index_.html", "HTML", 0, 0, 0, 0, 0, 177, 0, 0, 0, 0, 0, 177
"/home/bryn/Source/ember/contributing/docs/modules/_inhibitors_admin_only_.html", "HTML", 0, 0, 0, 0, 0, 129, 0, 0, 0, 0, 0, 129
"/home/bryn/Source/ember/contributing/docs/modules/_inhibitors_blacklist_.html", "HTML", 0, 0, 0, 0, 0, 129, 0, 0, 0, 0, 0, 129
"/home/bryn/Source/ember/contributing/docs/modules/_inhibitors_moderator_only_.html", "HTML", 0, 0, 0, 0, 0, 129, 0, 0, 0, 0, 0, 129
"/home/bryn/Source/ember/contributing/docs/modules/_listeners_client_debug_.html", "HTML", 0, 0, 0, 0, 0, 129, 0, 0, 0, 0, 0, 129
"/home/bryn/Source/ember/contributing/docs/modules/_listeners_client_discord_error_.html", "HTML", 0, 0, 0, 0, 0, 129, 0, 0, 0, 0, 0, 129
"/home/bryn/Source/ember/contributing/docs/modules/_listeners_client_presence_.html", "HTML", 0, 0, 0, 0, 0, 129, 0, 0, 0, 0, 0, 129
"/home/bryn/Source/ember/contributing/docs/modules/_listeners_client_ready_notification_.html", "HTML", 0, 0, 0, 0, 0, 129, 0, 0, 0, 0, 0, 129
"/home/bryn/Source/ember/contributing/docs/modules/_listeners_client_token_filter_.html", "HTML", 0, 0, 0, 0, 0, 129, 0, 0, 0, 0, 0, 129
"/home/bryn/Source/ember/contributing/docs/modules/_listeners_client_warn_.html", "HTML", 0, 0, 0, 0, 0, 129, 0, 0, 0, 0, 0, 129
"/home/bryn/Source/ember/contributing/docs/modules/_listeners_client_welcome_message_.html", "HTML", 0, 0, 0, 0, 0, 129, 0, 0, 0, 0, 0, 129
"/home/bryn/Source/ember/contributing/docs/modules/_listeners_commandhandler_command_blocked_.html", "HTML", 0, 0, 0, 0, 0, 129, 0, 0, 0, 0, 0, 129
"/home/bryn/Source/ember/contributing/docs/modules/_listeners_commandhandler_command_cancelled_.html", "HTML", 0, 0, 0, 0, 0, 129, 0, 0, 0, 0, 0, 129
"/home/bryn/Source/ember/contributing/docs/modules/_listeners_commandhandler_command_error_.html", "HTML", 0, 0, 0, 0, 0, 129, 0, 0, 0, 0, 0, 129
"/home/bryn/Source/ember/contributing/docs/modules/_listeners_commandhandler_command_finished_.html", "HTML", 0, 0, 0, 0, 0, 129, 0, 0, 0, 0, 0, 129
"/home/bryn/Source/ember/contributing/docs/modules/_listeners_commandhandler_command_started_.html", "HTML", 0, 0, 0, 0, 0, 129, 0, 0, 0, 0, 0, 129
"/home/bryn/Source/ember/contributing/docs/modules/_logging_logger_.html", "HTML", 0, 0, 0, 0, 0, 191, 0, 0, 0, 0, 0, 191
"/home/bryn/Source/ember/contributing/docs/modules/_util_api_client_.html", "HTML", 0, 0, 0, 0, 0, 142, 0, 0, 0, 0, 0, 142
"/home/bryn/Source/ember/contributing/docs/modules/_util_api_context_.html", "HTML", 0, 0, 0, 0, 0, 201, 0, 0, 0, 0, 0, 201
"/home/bryn/Source/ember/contributing/docs/modules/_util_api_index_.html", "HTML", 0, 0, 0, 0, 0, 113, 0, 0, 0, 0, 0, 113
"/home/bryn/Source/ember/contributing/docs/modules/_util_api_schema_index_.html", "HTML", 0, 0, 0, 0, 0, 142, 0, 0, 0, 0, 0, 142
"/home/bryn/Source/ember/contributing/docs/modules/_util_api_schema_types_guild_.html", "HTML", 0, 0, 0, 0, 0, 142, 0, 0, 0, 0, 0, 142
"/home/bryn/Source/ember/contributing/docs/modules/_util_api_schema_types_index_.html", "HTML", 0, 0, 0, 0, 0, 173, 0, 0, 0, 0, 0, 173
"/home/bryn/Source/ember/contributing/docs/modules/_util_api_schema_types_member_.html", "HTML", 0, 0, 0, 0, 0, 142, 0, 0, 0, 0, 0, 142
"/home/bryn/Source/ember/contributing/docs/modules/_util_api_schema_types_mutation_.html", "HTML", 0, 0, 0, 0, 0, 142, 0, 0, 0, 0, 0, 142
"/home/bryn/Source/ember/contributing/docs/modules/_util_api_schema_types_query_.html", "HTML", 0, 0, 0, 0, 0, 142, 0, 0, 0, 0, 0, 142
"/home/bryn/Source/ember/contributing/docs/modules/_util_api_schema_types_user_.html", "HTML", 0, 0, 0, 0, 0, 142, 0, 0, 0, 0, 0, 142
"/home/bryn/Source/ember/contributing/docs/modules/_util_api_server_.html", "HTML", 0, 0, 0, 0, 0, 184, 0, 0, 0, 0, 0, 184
"/home/bryn/Source/ember/contributing/docs/modules/_util_functions_guild_member_.html", "HTML", 0, 0, 0, 0, 0, 129, 0, 0, 0, 0, 0, 129
"/home/bryn/Source/ember/contributing/docs/modules/_util_functions_voice_.html", "HTML", 0, 0, 0, 0, 0, 129, 0, 0, 0, 0, 0, 129
"/home/bryn/Source/ember/contributing/docs/modules/_util_types_verifiable_.html", "HTML", 0, 0, 0, 0, 0, 129, 0, 0, 0, 0, 0, 129
"/home/bryn/Source/ember/contributing/example/functional-example.ts", "TypeScript", 0, 21, 0, 0, 0, 0, 0, 0, 0, 20, 5, 46
"/home/bryn/Source/ember/contributing/example/promise-chain-example.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 0, 0, 0, 17, 3, 36
"/home/bryn/Source/ember/contributing/license/mit.md", "Markdown", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 5, 25
"/home/bryn/Source/ember/contributing/license/zero.md", "Markdown", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 21, 42
"/home/bryn/Source/ember/contributing/releasing.md", "Markdown", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 3, 24
"/home/bryn/Source/ember/contributing/todo.md", "Markdown", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 4, 21
"/home/bryn/Source/ember/contributing/tools.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/bryn/Source/ember/package-lock.json", "JSON", 10327, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10328
"/home/bryn/Source/ember/package.json", "JSON", 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 109
"/home/bryn/Source/ember/prisma/schema.prisma", "Prisma", 0, 0, 0, 0, 0, 0, 828, 0, 0, 104, 105, 1037
"/home/bryn/Source/ember/src/commands/admin/prefix.ts", "TypeScript", 0, 39, 0, 0, 0, 0, 0, 0, 0, 10, 4, 53
"/home/bryn/Source/ember/src/commands/mod/ban.ts", "TypeScript", 0, 25, 0, 0, 0, 0, 0, 0, 0, 17, 4, 46
"/home/bryn/Source/ember/src/commands/mod/kick.ts", "TypeScript", 0, 25, 0, 0, 0, 0, 0, 0, 0, 17, 4, 46
"/home/bryn/Source/ember/src/commands/mod/lock.ts", "TypeScript", 0, 53, 0, 0, 0, 0, 0, 0, 0, 20, 4, 77
"/home/bryn/Source/ember/src/commands/mod/move.ts", "TypeScript", 0, 38, 0, 0, 0, 0, 0, 0, 0, 20, 4, 62
"/home/bryn/Source/ember/src/commands/mod/roulette.ts", "TypeScript", 0, 27, 0, 0, 0, 0, 0, 0, 0, 17, 4, 48
"/home/bryn/Source/ember/src/commands/mod/unban.ts", "TypeScript", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 4, 31
"/home/bryn/Source/ember/src/commands/mod/unlock.ts", "TypeScript", 0, 38, 0, 0, 0, 0, 0, 0, 0, 20, 4, 62
"/home/bryn/Source/ember/src/commands/mod/verify.ts", "TypeScript", 0, 67, 0, 0, 0, 0, 0, 0, 0, 31, 11, 109
"/home/bryn/Source/ember/src/commands/owner/reload.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 20, 3, 37
"/home/bryn/Source/ember/src/graphql/context.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"/home/bryn/Source/ember/src/graphql/generated/CacheMember.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 7, 5, 23
"/home/bryn/Source/ember/src/graphql/generated/CachePrefix.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 7, 5, 22
"/home/bryn/Source/ember/src/graphql/generated/UpsertGuildMember.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 7, 5, 24
"/home/bryn/Source/ember/src/graphql/generated/UpsertPrefix.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 7, 5, 23
"/home/bryn/Source/ember/src/graphql/generated/globalTypes.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 3, 13
"/home/bryn/Source/ember/src/graphql/generated/index.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/home/bryn/Source/ember/src/graphql/generated/schema.gen.graphql", "GraphQL", 0, 0, 0, 0, 12976, 0, 0, 0, 0, 2, 1205, 14183
"/home/bryn/Source/ember/src/graphql/graphql-client.ts", "TypeScript", 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 10, 95
"/home/bryn/Source/ember/src/graphql/graphql-server.ts", "TypeScript", 0, 29, 0, 0, 0, 0, 0, 0, 0, 1, 6, 36
"/home/bryn/Source/ember/src/graphql/schema/index.ts", "TypeScript", 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 7, 57
"/home/bryn/Source/ember/src/graphql/schema/types/guild-member-role.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 1, 3, 18
"/home/bryn/Source/ember/src/graphql/schema/types/guild-member.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 1, 3, 15
"/home/bryn/Source/ember/src/graphql/schema/types/guild.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 1, 3, 16
"/home/bryn/Source/ember/src/graphql/schema/types/index.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/home/bryn/Source/ember/src/graphql/schema/types/mutation.ts", "TypeScript", 0, 30, 0, 0, 0, 0, 0, 0, 0, 1, 3, 34
"/home/bryn/Source/ember/src/graphql/schema/types/query.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 1, 3, 18
